x	y	z
-0.235051  -0.143819  -0.992908
-0.242123  -0.138529  -0.997578
-0.236495  -0.144703  -0.999009
-0.223556  -0.150015  -0.994609
-0.177077  -0.124014  -0.856175
-0.175433  -0.127470  -0.880038
-0.178097  -0.131982  -0.950434
-0.141675  -0.121111  -0.836131
-0.133461  -0.122756  -0.847487
-0.132790  -0.122931  -0.885256
-0.099351  -0.119826  -0.827261
-0.085540  -0.131309  -0.837382
-0.057093  -0.126539  -0.806962
-0.048364  -0.129005  -0.822690
-0.044494  -0.137164  -0.842581
-0.016933  -0.128780  -0.791080
-0.007453  -0.128492  -0.789312
-0.002725  -0.129307  -0.787085
-0.002730  -0.128396  -0.788720
0.006671  -0.127746  -0.784727
0.021831  -0.128367  -0.781362
0.026563  -0.132161  -0.783076
0.036267  -0.129853  -0.790410
0.041657  -0.131951  -0.803181
0.069433  -0.127812  -0.777985
0.092021  -0.131495  -0.772286
0.102674  -0.131829  -0.774250
0.109116  -0.134054  -0.787315
0.120283  -0.136032  -0.798932
0.142138  -0.142351  -0.781162
0.172369  -0.149548  -0.770104
0.166358  -0.152483  -0.785218
0.186049  -0.156951  -0.784079
0.189804  -0.156183  -0.780238
0.190207  -0.151837  -0.781895
0.190397  -0.151989  -0.782674
0.194937  -0.147201  -0.782110
0.217352  -0.146544  -0.778617
0.217130  -0.146394  -0.777821
0.225875  -0.146033  -0.775900
0.227210  -0.141500  -0.776496
0.269423  -0.164267  -0.774348
0.302175  -0.169083  -0.775197
0.341533  -0.189402  -0.777715
0.348553  -0.195381  -0.783035
0.342117  -0.182898  -0.789801
0.359154  -0.188506  -0.793522
0.382582  -0.207326  -0.792893
0.389566  -0.208526  -0.797482
0.396316  -0.209573  -0.801488
0.394356  -0.211090  -0.807287
0.395939  -0.211937  -0.810528
