x	y	z
-0.303913  -0.133623  -0.922516
-0.326018  -0.146600  -0.971968
-0.326744  -0.141100  -0.974133
-0.310967  -0.136725  -0.943930
-0.283558  -0.127021  -0.914704
-0.273703  -0.122034  -0.918350
-0.255651  -0.121288  -0.912735
-0.246068  -0.124732  -0.938652
-0.239351  -0.133649  -0.962438
-0.224809  -0.138891  -1.000185
-0.192177  -0.138011  -0.993850
-0.167560  -0.131409  -0.988898
-0.137291  -0.131264  -0.906230
-0.129334  -0.130076  -0.898025
-0.123932  -0.124674  -0.897803
-0.111922  -0.128585  -0.887730
-0.107052  -0.123783  -0.891389
-0.096490  -0.123912  -0.892320
-0.092573  -0.120424  -0.906231
-0.056695  -0.126789  -0.875335
-0.046233  -0.132051  -0.875509
-0.023899  -0.131623  -0.872669
-0.008240  -0.131609  -0.872577
0.002199  -0.136869  -0.872837
0.024261  -0.136165  -0.868351
0.034564  -0.135831  -0.866217
0.039682  -0.135615  -0.864842
0.044831  -0.135542  -0.864378
0.055035  -0.140367  -0.862257
0.086082  -0.139730  -0.850531
0.116510  -0.141880  -0.840663
0.116921  -0.142381  -0.843630
0.131693  -0.143245  -0.841296
0.156279  -0.147734  -0.838217
0.190650  -0.171028  -0.829612
0.201966  -0.175471  -0.851163
0.212801  -0.165797  -0.853781
0.234854  -0.173440  -0.841312
0.238793  -0.177659  -0.837480
0.240320  -0.167832  -0.838437
0.243673  -0.167552  -0.837035
0.254848  -0.167493  -0.836741
0.283156  -0.176430  -0.831688
0.290031  -0.176831  -0.833576
0.290964  -0.177400  -0.836258
