x	y	z
-177.238083  -161.547882  -916.594055
-177.268387  -161.575516  -916.750793
-177.253937  -161.562332  -916.676086
-177.047318  -161.374008  -915.607544
-170.957916  -166.254395  -912.336487
-147.916748  -164.901489  -904.912292
-134.789276  -163.748154  -898.583252
-104.943581  -164.464371  -873.832153
-88.054260  -162.235870  -861.991638
-82.460785  -171.636353  -857.440308
-63.332821  -170.155212  -825.378357
-48.875053  -171.391617  -831.375854
-27.095690  -167.403061  -812.028381
-7.626518  -171.329010  -807.639832
26.345058  -164.757019  -776.659607
36.363010  -168.119049  -792.508179
54.719555  -163.943497  -767.415344
78.890182  -170.015656  -779.471191
102.751144  -169.003128  -774.829102
116.389809  -170.780579  -805.054504
150.627289  -174.814880  -801.474243
159.139908  -173.641922  -796.096619
194.440231  -174.339890  -799.296509
218.205734  -170.496262  -781.674622
228.416794  -171.140839  -784.629822
243.103851  -175.290375  -798.182251
265.176636  -172.924500  -792.807373
275.422241  -172.658798  -791.589233
302.844910  -177.997955  -789.021790
320.358582  -183.966797  -794.417542
348.088898  -200.509750  -803.587891
385.605865  -211.587845  -809.191345
392.693756  -207.938217  -813.850159
395.466858  -214.308807  -819.597351
416.044830  -214.809204  -821.510986
