x	y	z
-174.860870  -151.910172  -933.165161
-174.877472  -151.924591  -933.253723
-175.036163  -152.062454  -934.100586
-163.006271  -151.268326  -929.222351
-144.317322  -150.555450  -916.425415
-127.395943  -150.238251  -922.894714
-95.589813  -143.906464  -883.999390
-91.139137  -147.397507  -905.444397
-61.729321  -142.033096  -872.491516
-45.970997  -143.018570  -870.548706
-7.670776  -133.453537  -812.326660
2.073613  -135.211197  -823.025513
26.691521  -128.095306  -786.873413
36.141975  -129.406219  -787.690796
60.195538  -131.452393  -778.878052
69.719246  -127.170219  -781.190735
100.360191  -130.203842  -792.545959
112.128036  -132.914871  -809.047852
149.503494  -140.204346  -795.494568
164.450165  -136.805649  -776.210938
160.524948  -132.756302  -779.695862
187.530182  -135.867996  -770.890991
183.977158  -130.856842  -775.349243
193.713379  -132.331223  -777.199280
216.208130  -136.507370  -774.518677
226.645035  -141.148422  -774.565186
231.619110  -145.996353  -775.707886
257.234802  -153.945694  -769.063354
262.570282  -158.295761  -767.851318
341.232147  -191.277695  -766.588318
361.781586  -201.038467  -768.846497
372.750916  -201.998734  -772.518982
380.184143  -198.849213  -778.276733
405.268799  -199.166504  -779.518555
412.256927  -204.985352  -783.940918
418.749664  -205.872162  -787.332458
421.767242  -207.355698  -793.006042
