x	y	z
-167.466568  -173.184967  -840.074890
-162.198975  -172.925995  -838.818726
-161.592087  -172.278976  -835.680237
-155.755508  -171.356857  -831.207214
-139.416458  -174.545532  -822.802429
-123.859375  -173.435181  -817.568237
-118.000977  -168.908966  -819.333130
-97.141014  -171.588409  -808.862610
-87.398087  -171.457108  -808.243652
-66.460487  -170.452118  -803.506165
-46.589375  -172.856567  -792.495911
-31.818521  -175.740936  -779.016968
-7.272234  -173.734177  -770.121521
1.934482  -173.211365  -767.804016
34.309803  -163.098877  -747.759827
65.923126  -162.217682  -738.655945
75.517731  -168.326324  -746.149780
101.920502  -165.900436  -735.396423
114.465195  -171.515793  -760.287903
142.020859  -177.539185  -786.988159
152.587601  -177.510834  -786.862488
172.825836  -174.190994  -772.146484
186.683914  -177.486923  -786.756531
211.467255  -179.956863  -757.535522
230.394638  -179.699966  -756.454163
252.106812  -179.053314  -753.731995
268.685516  -171.265060  -759.176514
297.349976  -176.649231  -762.818359
337.576935  -199.115845  -779.320313
356.367920  -203.195816  -777.097107
365.651001  -205.804642  -787.074219
383.558472  -212.610077  -794.917419
396.363678  -217.017990  -811.397888
402.824860  -217.887741  -814.649841
424.932098  -213.718613  -817.340149
430.852142  -214.231384  -819.301208
436.871033  -219.694290  -821.404175
